cell_key,cilium_length_um,centriole_dist_um,nucleus_volume_um3
N:730537,,,32.31
N:373879,,,229.05
N:601340,,,426.14
N:201858,,,93.75
N:600774,,,135.19
N:408486,,,103.69
N:724731,,,92.05
N:598774,,,31.23
N:375326,,,105.77
N:406597,,,223.58
N:203428,,,54.66
N:407267,,,92.02
N:407376,,,31.58
N:409774,,,264.53
N:197048,,,104.66
N:199883,,,559.43
N:197775,,,42.98
N:685276,,,249.92
N:572767,,,41.96
N:166859,,,39.26
N:200721,,,48.99
N:731201,,,54.31
N:377443,,,82.87
N:731736,,,80.55
N:598424,,,83.07
N:200523,,,314.19
N:408931,,,75.45
N:372649,,,309.04
N:370474,,,38.69
N:372421,,,234.98
N:208325,,,49.84
N:404782,,,25.74
N:726386,,,187.24
N:369908,,,332.86
N:210344,,,181.26
N:205774,,,109.4
N:723520,,,30.93
N:205049,,,123.51
N:204873,,,129.49
N:205533,,,106.91
N:406127,,,301.89
N:373378,,,266.13
N:676665,,,195.34
N:204335,,,267.59
N:204359,,,84.61
N:574814,,,269.12
N:680473,,,246.36
N:722811,,,148.14
N:206866,,,299.32
N:152813,,,303.93
N:415545,,,77.51
N:190151,,,244.42
N:739441,,,304.93
N:416040,,,152.99
N:189083,,,91.25
N:189419,,,44.65
N:415726,,,254.89
N:189115,,,251.62
N:415808,,,207.38
N:156155,,,325.29
N:738318,,,72.23
N:191237,,,50.84
N:190006,,,271.03
N:191816,,6.18,52.99
N:569596,,,74.03
N:382350,,,73.95
N:383261,,,52.11
N:412902,,,225.26
N:190881,,,230.15
N:186724,2.5,6.31,127.04
N:417191,,,235.7
N:736109,,,96.48
N:416284,,,49.47
N:153275,,,308.3
N:416153,,,77.41
N:153085,,,244.26
N:736470,,,54.71
N:416658,,,94.62
N:186867,,,35.92
N:416715,,,111.74
N:734856,,,37.06
N:734840,,,34.25
N:411455,,,126.63
N:409293,,,218.34
N:411372,,,91.96
N:161434,,,281.19
N:196209,,,397.05
N:735363,,,260.65
N:160913,,2.37,36.73
N:165545,,,253.68
N:733392,,,541.83
N:734038,,,26.38
N:159400,,,205.32
N:733318,,,69.24
N:192921,,,228.1
N:410237,,,73.63
N:192537,,,49.4
N:737080,,,71.49
N:192868,,,82.85
N:410472,,,72.62
N:413567,,,226.88
N:193067,,,31.54
N:736586,,,314.08
N:567497,,,98.41
N:410719,,,81.24
N:192028,,4.96,39.8
N:414127,,,72.13
N:689644,,,55.92
N:382205,,,63.5
N:570347,,,76.18
N:192566,,,294.33
N:598868,,,138.73
N:193846,,,306.15
N:193828,,,48.11
N:193643,,2.58,37.0
N:736114,,,34.85
N:159133,,,240.24
N:410058,,,73.86
N:194055,,,78.43
N:227619,,,228.02
N:225464,,4.11,38.55
N:584989,,,68.19
N:227994,,,257.15
N:609796,,,70.93
N:363874,,,260.4
N:670701,,,287.91
N:393168,,,43.75
N:193204,,,57.15
N:611078,,,119.94
N:711981,,,258.0
N:196021,,,28.31
N:715010,,,188.07
N:582214,,,200.7
N:227368,,,53.14
N:362609,,,260.26
N:227105,,,29.95
N:671586,,,40.77
N:583297,,,225.96
N:583404,,2.77,56.66
N:394391,,3.44,54.25
N:611718,,,44.74
N:608855,,,218.87
N:365403,,3.58,94.92
N:719364,,,206.65
N:189734,,,46.91
N:581138,,,48.07
N:221971,,,267.99
N:608651,,9.23,45.21
N:223529,,,257.79
N:719916,,,211.87
N:396633,,,54.66
N:223720,,,228.67
N:581830,,4.08,54.22
N:225887,,,163.93
N:713162,,,291.15
N:580782,,,337.96
N:717927,,,160.21
N:226258,,,271.15
N:717721,,,51.0
N:224329,,,46.52
N:223650,,,272.17
N:393873,,,255.99
N:394075,,,37.58
N:191621,,,265.24
N:396067,,,198.67
N:225415,,,209.02
N:581629,,,67.17
N:609673,,,40.68
